Drivers	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
speed	200.00	200.00	200.00	200.00	200.00	200.00	200.56	201.76	201.76	201.76	201.76	201.76	201.76	201.76	201.76	201.76
stevens	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	199.69
sutil	200.00	200.00	200.00	200.00	200.00	200.00	200.00	201.85	201.27	198.30	199.43	200.34	200.34	199.11	199.55	199.55
trulli	197.27	198.87	201.28	196.38	197.24	197.90	199.80	201.39	201.94	199.27	199.28	198.88	198.88	198.88	198.88	198.88
vergne	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	200.00	199.37	199.52	200.38	200.38
verstappen	201.69	204.30	204.30	205.63	205.63	205.63	205.63	205.63	205.63	205.63	205.63	205.63	205.63	205.63	205.63	205.63
vettel	200.00	200.00	200.00	200.00	200.00	200.00	200.00	199.00	203.56	205.13	204.98	210.02	213.61	221.12	218.65	221.20
villeneuve	203.53	205.14	205.85	203.98	196.84	195.33	192.93	192.93	192.93	192.93	192.93	192.93	192.93	192.93	192.93	192.93
webber	200.00	200.00	202.97	208.12	209.78	211.02	213.61	214.85	218.21	216.72	216.87	211.61	207.85	199.99	199.99	199.99
wilson	200.00	200.00	200.00	197.82	197.82	197.82	197.82	197.82	197.82	197.82	197.82	197.82	197.82	197.82	197.82	197.82
wurz	197.90	197.90	197.90	197.90	197.90	197.90	197.90	197.05	197.05	197.05	197.05	197.05	197.05	197.05	197.05	197.05
yamamoto	200.00	200.00	200.00	200.00	200.00	200.00	199.00	197.14	197.14	197.14	195.73	195.73	195.73	195.73	195.73	195.73
yoong	200.00	197.80	195.31	195.31	195.31	195.31	195.31	195.31	195.31	195.31	195.31	195.31	195.31	195.31	195.31	195.31
zonta	196.30	196.30	196.30	196.30	200.68	200.68	200.68	200.68	200.68	200.68	200.68	200.68	200.68	200.68	200.68	200.68
